GTIN|TARGETMARKET|BRANDNAME|LANGUAGE|LABELDESCRIPTION|LANGUAGE|GPC|COMPANY|LANGUAGE|IMAGE|LANGUAGE|INFORMATIONPROVIDER|DATASOURCE|DESCRIPTION_IN_INPUT 
08711776610172|528|WELEDA|-|VENADORON|-|10000907|Weleda Benelux|-|||8719965035508||Sample GTIN 08711776610172 
08711776001246|528|Weleda|-|ARNICA SPIERBALSEM|-|10000855|Weleda Benelux|-|||8719965035508||Sample GTIN 08711776001246 
08711776650444|528|Weleda|-|WECESIN STROOIPOEDER|-|10000891|Weleda Benelux|-|||8719965035508||Sample GTIN 08711776650444 
08711776652240|528|Weleda|-|TRAVEL DUINDOORN VITALISERENDE OLIE|-|10000356|Weleda Benelux|-|||8719965035508||Sample GTIN 08711776652240 
08711776653438|528|Weleda|-|ZUIVERENDE ROOM SPRAY FRESH|-|10000771|Weleda Benelux|-|||8719965035508||Sample GTIN 08711776653438 
08711776650338|528|Weleda|-|GRANAATAPPEL CADEAU 2017|-|10000330|Weleda Benelux|-|||8719965035508||Sample GTIN 08711776650338 
08711776630149|528|Weleda|-|INFLUDO|-|10000876|Weleda Benelux|-|||8719965035508||Sample GTIN 08711776630149 
